PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL
MEDIA,58,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Alpignano,Capannoni logistica,Capannone Vendita Alpignano - 29 case in vendita in Alpignano de Nuroa.it,140000,65000,10,NON_DETERMINATO,POSSIBILE_USCITA,2026-08-28T05:06:35.529823+00:00,2026-09-21T18:48:49.170878+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | industriale logistica,,https://www.nuroa.it/vendita-immobili/capannone-vendita-alpignano
MEDIA,58,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Alpignano,Capannoni logistica,Alpignano - 567 appartamenti in affito in Alpignano de Nuroa.it,12000,65000,4,NON_DETERMINATO,USCITO_MERCATO,2026-09-04T00:12:37.945895+00:00,2026-09-07T04:45:03.055212+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | industriale logistica,,https://www.nuroa.it/affitto-case/alpignano
MEDIA,58,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Bruino,Capannoni logistica,Capannone Bruino - 35 case in vendita in Bruino de Nuroa.it,160000,270000,2,NON_DETERMINATO,TRACKED,2026-09-11T23:19:47.988237+00:00,2026-09-22T13:28:47.915573+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | industriale logistica,,https://www.nuroa.it/vendita-immobili/capannone-bruino
MEDIA,56,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Almese,Commerciale negozi/locali,Almese - 241 appartamenti in affito in Almese de Nuroa.it,300000,175000,4,NON_DETERMINATO,TRACKED,2026-08-28T05:06:35.529757+00:00,2026-09-22T07:44:42.104306+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | commerciale immobile,,https://www.nuroa.it/affitto-case/almese
MEDIA,56,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Chiusa di San Michele,Commerciale negozi/locali,Torino 160 Mq - 261 case in vendita in Torino de Nuroa.it,45000,33000,3,NON_DETERMINATO,USCITO_MERCATO,2026-09-02T12:02:41.369862+00:00,2026-09-19T23:00:29.357014+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | commerciale immobile,,https://www.nuroa.it/vendita-immobili/torino-160-mq
MEDIA,56,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Bardonecchia,Commerciale negozi/locali,Locale Commerciale Bardonecchia - 42 locali comerciali in affito in ...,8000,285000,2,NON_DETERMINATO,TRACKED,2026-09-03T18:47:06.317830+00:00,2026-09-07T10:14:01.139141+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | commerciale immobile,,https://www.nuroa.it/affitto-case/locale-commerciale-bardonecchia
MEDIA,56,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Bruino,Uffici e direzionale,Bruino - 319 appartamenti in affito in Bruino de Nuroa.it,225000,129000,9,NON_DETERMINATO,POSSIBILE_USCITA,2026-09-08T06:35:04.156919+00:00,2026-09-21T12:37:01.288684+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | ufficio direzionale,,https://www.nuroa.it/affitto-case/bruino
MEDIA,56,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Beinasco,Commerciale negozi/locali,Locale Commerciale Beinasco - 82 locali comerciali in affito in ...,6500,1350000,3,NON_DETERMINATO,USCITO_MERCATO,2026-09-09T20:56:38.868370+00:00,2026-09-18T01:22:44.225571+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | commerciale immobile,,https://www.nuroa.it/affitto-case/locale-commerciale-beinasco
MEDIA,56,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Pianezza,Uffici e direzionale,Immobili commerciali affitto vendita - Annunci per impresa.,7800,77250,2,NON_DETERMINATO,USCITO_MERCATO,2026-09-14T18:41:54.044274+00:00,2026-09-20T06:08:00.347439+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli | ufficio direzionale,,https://immobilimpresa.net/
MEDIA,52,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Rivalta di Torino,Subito privati,Annunci Uffici e locali commerciali Rivalta di Torino - Affitto uffici ...,,,0,NON_DETERMINATO,NEW,2026-09-22T07:44:42.106355+00:00,2026-09-22T07:44:42.106357+00:00,nuova rilevazione | fonte/query orientata ai privati | industriale logistica,,https://www.subito.it/annunci-piemonte/affitto/uffici-locali-commerciali/torino/rivalta-di-torino/
