id,comune,via,strada,tipologia,titolo,fonte,agenzia,url,stato,attivo,venduto_confermato,prima_rilevazione,ultimo_avvistamento,giorni_mercato,prezzo,prezzo_precedente,mq,prezzo_mq,numero_ribassi,primo_ribasso,ultimo_ribasso,giorni_al_primo_ribasso,ribasso_totale_pct,cross_match,missed_checks
1f6a089f092103b77b70,Almese,,,altro,Case e appartamenti a Almese. Immobili in vendita a Almese - Nestoria,Nestoria,,https://www.nestoria.it/immobiliare/vendita/almese,TRACKED,True,False,2026-08-21T12:20:59.475192+00:00,2026-08-23T17:16:38.786642+00:00,6,,,,,0,,,,0,0,0
2bcdb0fc06c342a547fe,Almese,,,altro,476 Immobili in vendita a Almese - Mitula Case,Mercato generale,,https://immobiliare.mitula.it/almese,TRACKED,True,False,2026-08-21T12:20:59.475199+00:00,2026-08-23T09:11:13.222326+00:00,6,,,,,0,,,,0,0,0
8c2bf7566b731a977793,Almese,,,altro,161 immobili in vendita a Almese - Trovit,Trovit,,https://case.trovit.it/almese,TRACKED,True,False,2026-08-21T12:20:59.475157+00:00,2026-08-23T09:11:13.222307+00:00,6,27000.0,46000.0,,,1,2026-08-23T09:11:13.222314+00:00,2026-08-23T09:11:13.222314+00:00,1,41.3,0,0
15f96a92f4a03635eec3,Almese,,,terreno,"Terreno edificabile via alma bertolo, Almese, rif. 129022660 ...",Immobiliare.it,,https://www.immobiliare.it/annunci/129022660/,NEW,True,False,2026-08-21T12:20:59.475230+00:00,2026-08-21T12:20:59.475232+00:00,6,,,,,0,,,,0,0,0
2f72c750a44d4d0dda61,Almese,,,terreno,"Terreno edificabile via Capolo, Almese, rif. 126452785 - Immobiliare.it",Immobiliare.it,,https://www.immobiliare.it/annunci/126452785/,NEW,True,False,2026-08-21T12:20:59.475225+00:00,2026-08-21T12:20:59.475226+00:00,6,,,,,0,,,,0,0,0
d11a35dc33bf88a2bc87,Almese,Via Almese 10,Via Almese,casa indipendente,"Casa indipendente in vendita in Via Almese, 10 - idealista",Idealista,,https://www.idealista.it/immobile/35031076/,NEW,True,False,2026-08-21T12:20:59.475241+00:00,2026-08-21T12:20:59.475243+00:00,6,,,,,0,,,,0,0,0
1da3198f8f2f5ee6137c,Almese,Via IV Novembre 4,Via IV Novembre,altro,Immobili in Vendita | Agenzia Tecnorete di Almese,Tecnorete,,https://almese1.tecnorete.it/immobili-in-vendita,TRACKED,True,False,2026-08-22T17:17:15.502399+00:00,2026-08-23T17:16:38.786668+00:00,4,,,,,0,,,,0,0,0
9a8e6bc5c6aaedd0ee05,Almese,Via Rubiana 142,Via Rubiana,villa,"Villa in vendita in Via Rubiana, 142 /2, Almese - idealista",Idealista,,https://www.idealista.it/immobile/36069783/,TRACKED,True,False,2026-08-17T16:30:23.634178+00:00,2026-08-23T09:11:13.222280+00:00,10,,,,,0,,,,0,0,0
c49246626beeeef88169,Almese,frazione Tuberghengo 2,frazione Tuberghengo,casa indipendente,Vendita Terratetto plurifamiliare in frazione Tuberghengo 2 Viù. Da ...,Immobiliare.it,,https://www.immobiliare.it/annunci/101503673/,NEW,True,False,2026-08-21T12:20:59.475235+00:00,2026-08-21T12:20:59.475237+00:00,6,,,,,0,,,,0,0,0
f03f60de65c9aab43eb5,Almese,via Montecapretto 24,via Montecapretto,villa,Vendita Villa unifamiliare in via Montecapretto 24 Almese. Ottimo stato ...,Immobiliare.it,,https://www.immobiliare.it/annunci/108146029/,NEW,True,False,2026-08-21T12:20:59.475211+00:00,2026-08-21T12:20:59.475213+00:00,6,,,,,0,,,,0,0,0
2356b8a6cc2bf07676f7,Almese,via Roma 29,via Roma,appartamento,Vendita Appartamento Almese. Trilocale in via Roma 29. Buono stato ...,Immobiliare.it,,https://www.immobiliare.it/annunci/130993624/,NEW,True,False,2026-08-21T12:20:59.475217+00:00,2026-08-21T12:20:59.475219+00:00,6,,,,,0,,,,0,1,0
5fe366ce6142845c6cfa,Almese,via Rubiana 100,via Rubiana,villa,"Vendita Villa bifamiliare in via Rubiana 100 Almese. Buono stato, posto ...",Immobiliare.it,,https://www.immobiliare.it/annunci/119867056/,NEW,True,False,2026-08-21T12:20:59.475206+00:00,2026-08-21T12:20:59.475207+00:00,6,,,,,0,,,,0,0,0
9bd098c51c8133127d2c,Alpignano,,,altro,26.535 immobili in vendita a Alpignano - Nestoria,Nestoria,,https://www.nestoria.it/immobiliare/vendita/alpignano,TRACKED,True,False,2026-08-21T12:20:59.475251+00:00,2026-08-23T17:16:38.786677+00:00,6,,,,,0,,,,0,0,0
f203f95c72721cdc179e,Alpignano,Via Della costa 41,Via Della costa,altro,Immobili in vendita a Alpignano | Gabetti,Mercato generale,,https://www.gabetti.it/vendita/alpignano,TRACKED,True,False,2026-08-21T12:20:59.475246+00:00,2026-08-23T17:16:38.786683+00:00,6,,,,,0,,,,0,0,0
86b759f47381baaa78bf,Avigliana,,,altro,23.123 immobili in vendita a Avigliana - Nestoria,Nestoria,,https://www.nestoria.it/immobiliare/vendita/avigliana,NEW,True,False,2026-08-23T17:16:38.786702+00:00,2026-08-23T17:16:38.786704+00:00,3,,,,,0,,,,0,0,0
b1401933cac7e2c369de,Avigliana,,,altro,"7 immobili in vendita a Villaggio Primavera, Avigliana - Trovit",Trovit,,https://case.trovit.it/avigliana-villaggio-primavera,TRACKED,True,False,2026-08-21T12:20:59.475257+00:00,2026-08-23T17:16:38.786692+00:00,6,27000.0,,,,0,,,,0,0,0
372e8d3efedd00da03bc,Avigliana,Corso Laghi 208,Corso Laghi,altro,Immobiliare Castello Srl - Avigliana | Agenzia Tecnorete di Avigliana,Tecnorete,,https://avigliana1.tecnorete.it/avigliana/avigliana/,NEW,True,False,2026-08-23T17:16:38.786710+00:00,2026-08-23T17:16:38.786711+00:00,3,,,,,0,,,,0,0,0
8ea27ac2188aa7571e12,Avigliana,Corso Laghi 208,Corso Laghi,altro,Immobili in Vendita | Agenzia Tecnorete di Avigliana,Tecnorete,,https://avigliana1.tecnorete.it/immobili-in-vendita,TRACKED,True,False,2026-08-21T12:20:59.475265+00:00,2026-08-23T17:16:38.786688+00:00,6,,,,,0,,,,0,0,0
3cb21c58d0c3d50430d6,Avigliana,VIA MONTE CUNEO 6,VIA MONTE CUNEO,villa,"Esclusiva villa di 223 mq in vendita VIA MONTE CUNEO, 6, Avigliana ...",Mercato generale,,https://www.luxuryestate.com/it/p131147981-villa-for-sale-avigliana,TRACKED,True,False,2026-08-19T16:57:29.634998+00:00,2026-08-23T17:16:38.786715+00:00,7,,,223.0,,0,,,,0,0,0
26cf0943b957c20d714b,Bardonecchia,,,altro,Bardonecchia - Vendita case Piemonte - Subito.it,Subito privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=bardonecchia,TRACKED,True,False,2026-08-21T12:20:59.475284+00:00,2026-08-23T17:16:38.786724+00:00,6,,,,,0,,,,0,0,0
35fddf5b00f8b723b630,Bardonecchia,,,altro,Annunci di case in vendita a Bardonecchia centro città,Bakeca privati,,https://torino.bakeca.it/annunci/vendita-case/luogo/Bardonecchia/,TRACKED,True,False,2026-08-21T12:20:59.475291+00:00,2026-08-23T09:11:13.222356+00:00,6,,,,,0,,,,0,0,0
e28163f4853d4f9313e1,Bardonecchia,,,altro,Case e appartamenti a Bardonecchia. Immobili in vendita a ... - Nestoria,Nestoria,,https://www.nestoria.it/immobiliare/vendita/bardonecchia,NEW,True,False,2026-08-22T17:17:15.502432+00:00,2026-08-22T17:17:15.502433+00:00,4,,,,,0,,,,0,0,0
eb21a7194edb3f169bea,Bardonecchia,,,altro,Case in vendita Bardonecchia - Immobili - Subito.it,Subito privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bardonecchia/,NEW,True,False,2026-08-23T09:11:13.222362+00:00,2026-08-23T09:11:13.222364+00:00,4,,,,,0,,,,0,0,0
072b1c2eb7b838a219e4,Bardonecchia,Via Pollicino 10,Via Pollicino,appartamento,"Quadrilocale in vendita in Via Pollicino, 10, Bardonecchia — idealista ...",Idealista,,https://www.idealista.it/immobile/36094722/,NEW,True,False,2026-08-22T17:17:15.502438+00:00,2026-08-22T17:17:15.502439+00:00,4,,,,,0,,,,0,0,0
8b565539856bab5ada39,Bardonecchia,Via Sommeiller 8,Via Sommeiller,altro,Immobili in vendita a Bardonecchia | Gabetti,Mercato generale,,https://www.gabetti.it/vendita/bardonecchia,TRACKED,True,False,2026-08-21T12:20:59.475278+00:00,2026-08-23T17:16:38.786720+00:00,6,,,,,0,,,,0,0,0
0e12d064bae5d860bc52,Borgone Susa,,,altro,Case e appartamenti a Borgone Susa. Immobili in vendita a ... - Nestoria,Nestoria,,https://www.nestoria.it/immobiliare/vendita/borgone-susa,TRACKED,True,False,2026-08-21T12:20:59.475298+00:00,2026-08-23T17:16:38.786729+00:00,6,,,,,0,,,,0,0,0
47135bc91bf7c508eab1,Borgone Susa,,,altro,Instagram,Mercato generale,,https://www.instagram.com/p/DZKRZL7jUzy/,TRACKED,True,False,2026-08-21T12:20:59.475309+00:00,2026-08-22T17:17:15.502455+00:00,6,,,,,0,,,,0,0,0
5649ec0eb4392b9eda5c,Borgone Susa,,,altro,Case a Borgone Susa. Ville in vendita a Borgone Susa - Nestoria,Nestoria,,https://www.nestoria.it/case/vendita/borgone-susa,TRACKED,True,False,2026-08-23T09:11:13.222374+00:00,2026-08-23T17:16:38.786734+00:00,4,,,,,0,,,,0,0,0
af08fd890ebe132d1a48,Borgone Susa,,,altro,274 Immobili in vendita a Borgone Susa - Mitula Case,Mercato generale,,https://immobiliare.mitula.it/borgone-susa,TRACKED,True,False,2026-08-23T09:11:13.222380+00:00,2026-08-23T17:16:38.786739+00:00,4,,,,,0,,,,0,0,0
318b0b8cf624873620cf,Borgone Susa,Via Bruno Mosconi 4,Via Bruno Mosconi,altro,"Cerco casa, portale dedicato alle ricerca di appartamenti in vendita e ...",Tecnorete,,https://www.tecnorete.it/annunci/immobili/piemonte/torino/borgone-susa.html,TRACKED,True,False,2026-08-21T12:20:59.475304+00:00,2026-08-23T17:16:38.786743+00:00,6,,,,,0,,,,0,0,0
